"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
"1",22314,6,7,1995,2,"NL","M",34,NA,"Neotoma","albigula","Rodent","Control"
"2",22728,9,23,1995,2,"NL","F",32,165,"Neotoma","albigula","Rodent","Control"
"3",22899,10,28,1995,2,"NL","F",32,171,"Neotoma","albigula","Rodent","Control"
"4",23032,12,2,1995,2,"NL","F",33,NA,"Neotoma","albigula","Rodent","Control"
"5",24589,10,12,1996,2,"NL","M",33,127,"Neotoma","albigula","Rodent","Control"
"6",24690,11,16,1996,2,"NL","F",33,130,"Neotoma","albigula","Rodent","Control"
"7",24703,11,16,1996,2,"NL","M",33,148,"Neotoma","albigula","Rodent","Control"
"8",25247,3,15,1997,2,"NL","M",34,147,"Neotoma","albigula","Rodent","Control"
"9",25701,5,10,1997,2,"NL","F",32,144,"Neotoma","albigula","Rodent","Control"
"10",26028,6,9,1997,2,"NL","M",34,193,"Neotoma","albigula","Rodent","Control"
"11",26644,7,29,1997,2,"NL","F",30,178,"Neotoma","albigula","Rodent","Control"
"12",26827,9,27,1997,2,"NL","F",33,138,"Neotoma","albigula","Rodent","Control"
"13",26857,9,27,1997,2,"NL","F",33,174,"Neotoma","albigula","Rodent","Control"
"14",27042,10,25,1997,2,"NL","F",34,186,"Neotoma","albigula","Rodent","Control"
"15",27326,12,28,1997,2,"NL","F",33,181,"Neotoma","albigula","Rodent","Control"
"16",27734,3,29,1998,2,"NL","F",33,188,"Neotoma","albigula","Rodent","Control"
"17",27781,5,2,1998,2,"NL",NA,NA,200,"Neotoma","albigula","Rodent","Control"
"18",27860,5,28,1998,2,"NL","F",33,190,"Neotoma","albigula","Rodent","Control"
"19",27897,5,28,1998,2,"NL","M",21,110,"Neotoma","albigula","Rodent","Control"
"20",27919,5,28,1998,2,"NL","F",34,158,"Neotoma","albigula","Rodent","Control"
"21",28022,6,27,1998,2,"NL","F",31,182,"Neotoma","albigula","Rodent","Control"
"22",28077,6,27,1998,2,"NL","M",30,132,"Neotoma","albigula","Rodent","Control"
"23",28328,8,22,1998,2,"NL","F",30,143,"Neotoma","albigula","Rodent","Control"
"24",28551,9,20,1998,2,"NL","M",31,178,"Neotoma","albigula","Rodent","Control"
"25",28556,9,20,1998,2,"NL","M",30,149,"Neotoma","albigula","Rodent","Control"
"26",28662,10,24,1998,2,"NL","M",34,168,"Neotoma","albigula","Rodent","Control"
"27",28928,12,22,1998,2,"NL","F",31,165,"Neotoma","albigula","Rodent","Control"
"28",29039,1,16,1999,2,"NL","F",34,162,"Neotoma","albigula","Rodent","Control"
"29",29310,3,14,1999,2,"NL","F",32,153,"Neotoma","albigula","Rodent","Control"
"30",29435,4,17,1999,2,"NL","M",34,220,"Neotoma","albigula","Rodent","Control"
"31",29572,5,15,1999,2,"NL","F",33,154,"Neotoma","albigula","Rodent","Control"
"32",29823,9,11,1999,2,"NL","F",33,200,"Neotoma","albigula","Rodent","Control"
"33",29865,10,9,1999,2,"NL","F",32,194,"Neotoma","albigula","Rodent","Control"
"34",29950,11,6,1999,2,"NL","F",33,195,"Neotoma","albigula","Rodent","Control"
"35",30066,12,5,1999,2,"NL","F",33,131,"Neotoma","albigula","Rodent","Control"
"36",30067,12,5,1999,2,"NL",NA,NA,194,"Neotoma","albigula","Rodent","Control"
"37",30172,1,8,2000,2,"NL","F",30,137,"Neotoma","albigula","Rodent","Control"
"38",30174,1,8,2000,2,"NL","F",33,181,"Neotoma","albigula","Rodent","Control"
"39",30175,1,8,2000,2,"NL","M",34,265,"Neotoma","albigula","Rodent","Control"
"40",30307,2,5,2000,2,"NL","F",33,185,"Neotoma","albigula","Rodent","Control"
"41",30308,2,5,2000,2,"NL","F",31,144,"Neotoma","albigula","Rodent","Control"
"42",30309,2,5,2000,2,"NL",NA,NA,183,"Neotoma","albigula","Rodent","Control"
"43",30443,3,4,2000,2,"NL","M",33,184,"Neotoma","albigula","Rodent","Control"
"44",30741,6,3,2000,2,"NL","F",33,158,"Neotoma","albigula","Rodent","Control"
"45",31516,11,25,2000,2,"NL","F",29,200,"Neotoma","albigula","Rodent","Control"
"46",31517,11,25,2000,2,"NL","M",32,228,"Neotoma","albigula","Rodent","Control"
"47",31633,12,22,2000,2,"NL","F",31,173,"Neotoma","albigula","Rodent","Control"
"48",31717,1,21,2001,2,"NL","M",33,121,"Neotoma","albigula","Rodent","Control"
"49",31721,1,21,2001,2,"NL","F",31,158,"Neotoma","albigula","Rodent","Control"
"50",31862,3,24,2001,2,"NL","F",32,252,"Neotoma","albigula","Rodent","Control"
"51",31946,4,21,2001,2,"NL","F",33,145,"Neotoma","albigula","Rodent","Control"
"52",32045,5,26,2001,2,"NL","M",32,135,"Neotoma","albigula","Rodent","Control"
"53",32167,6,25,2001,2,"NL","F",30,173,"Neotoma","albigula","Rodent","Control"
"54",32391,8,25,2001,2,"NL","F",33,193,"Neotoma","albigula","Rodent","Control"
"55",32817,10,13,2001,2,"NL","F",29,72,"Neotoma","albigula","Rodent","Control"
"56",33040,11,17,2001,2,"NL","F",31,119,"Neotoma","albigula","Rodent","Control"
"57",33041,11,17,2001,2,"NL","F",33,213,"Neotoma","albigula","Rodent","Control"
"58",33237,12,15,2001,2,"NL","F",33,126,"Neotoma","albigula","Rodent","Control"
"59",33238,12,15,2001,2,"NL","F",32,198,"Neotoma","albigula","Rodent","Control"
"60",33339,1,12,2002,2,"NL",NA,NA,NA,"Neotoma","albigula","Rodent","Control"
"61",33415,2,9,2002,2,"NL","M",33,120,"Neotoma","albigula","Rodent","Control"
"62",33583,3,13,2002,2,"NL","M",32,136,"Neotoma","albigula","Rodent","Control"
"63",33586,3,13,2002,2,"NL","F",32,196,"Neotoma","albigula","Rodent","Control"
"64",33837,4,17,2002,2,"NL","F",NA,190,"Neotoma","albigula","Rodent","Control"
"65",33847,4,17,2002,2,"NL","F",30,149,"Neotoma","albigula","Rodent","Control"
"66",33966,5,15,2002,2,"NL","F",31,188,"Neotoma","albigula","Rodent","Control"
"67",34198,6,15,2002,2,"NL","F",31,139,"Neotoma","albigula","Rodent","Control"
"68",34783,10,5,2002,2,"NL","M",36,226,"Neotoma","albigula","Rodent","Control"
"69",34991,11,9,2002,2,"NL","M",33,238,"Neotoma","albigula","Rodent","Control"
"70",35212,12,7,2002,2,"NL","M",33,248,"Neotoma","albigula","Rodent","Control"
"71",35404,12,29,2002,2,"NL","F",30,NA,"Neotoma","albigula","Rodent","Control"
"72",22003,1,11,1995,2,"DM","M",37,41,"Dipodomys","merriami","Rodent","Control"
